iteration	alpha_actor	alpha_critic	gamma	negReward	fit	ratio
289	0.01	0.01	0.0800321	0.0953513	-55.6658	0.968031
290	0.01	0.01	0.0756241	0.0865291	-57.7558	1.03755
291	0.01	0.01	0.0577297	0.0800025	-55.4207	0.959569
292	0.01	0.01	0.0472794	0.0511132	-52.8346	0.953338
293	0.01	0.01	0.0555728	0.0493507	-53.2276	1.00744
294	0.01	0.01	0.0741059	0.0524852	-52.9117	0.994064
295	0.01	0.01	0.0771853	0.0424176	-51.8036	0.979058
296	0.01	0.01	0.085969	0.0502165	-53.0501	1.02406
297	0.01	0.01	0.083239	0.0628107	-53.3897	1.0064
298	0.01	0.01	0.0591252	0.0863895	-55.8265	1.04564
299	0.01	0.01	0.0448229	0.0948467	-56.3382	1.00917
300	0.01	0.01	0.0552991	0.112784	-59.9145	1.06348
301	0.01	0.01	0.0537553	0.125665	-59.0753	0.985992
302	0.01	0.01	0.055797	0.132542	-59.9591	1.01496
303	0.01	0.01	0.0516969	0.116417	-58.5765	0.976941
304	0.01	0.01	0.0507432	0.121722	-58.8003	1.00382
305	0.01	0.01	0.0636502	0.128693	-60.1313	1.02264
306	0.01	0.01	0.0625128	0.138223	-60.0386	0.998458
307	0.01	0.01	0.068123	0.136286	-59.0747	0.983946
308	0.01	0.01	0.0864123	0.124069	-58.6559	0.992911
309	0.01	0.01	0.082855	0.132435	-58.5343	0.997926
310	0.01	0.01	0.0824062	0.121053	-58.8211	1.0049
311	0.01	0.01	0.0676958	0.11473	-57.8808	0.984015
312	0.01	0.01	0.0713199	0.113048	-60.2089	1.04022
313	0.01	0.01	0.0641958	0.114818	-58.7358	0.975533
314	0.01	0.01	0.0750704	0.0999149	-56.8352	0.967641
315	0.01	0.01	0.0692353	0.0995012	-56.939	1.00183
316	0.01	0.01	0.0751358	0.104001	-56.8075	0.99769
317	0.01	0.01	0.0743844	0.108729	-56.9309	1.00217
318	0.01	0.01	0.0745803	0.0999526	-57.8109	1.01546
319	0.01	0.01	0.100327	0.103175	-57.5049	0.994708
320	0.01	0.01	0.100327	0.103175	-57.5049	0.993161
321	0.01	0.01	0.0889306	0.0909027	-56.5744	0.983818
322	0.01	0.01	0.0661895	0.0835226	-55.2898	0.977294
323	0.01	0.01	0.0730034	0.100065	-56.9833	1.03063
324	0.01	0.01	0.0846787	0.10345	-58.6106	1.02856
325	0.01	0.01	0.0910722	0.102866	-56.8864	0.970583
326	0.01	0.01	0.0941144	0.0993942	-56.48	0.992856
327	0.01	0.01	0.103604	0.0930521	-56.492	1.00021
328	0.01	0.01	0.104032	0.0979552	-56.8825	1.00691
